datetime,air_temperature,water_temperature,day_index
2019-07-01,25.02608695652174,26.652173913043477,1
2019-07-02,27.183333333333334,27.2,2
2019-07-03,25.1125,27.241666666666664,3
2019-07-04,24.545833333333334,27.145833333333332,4
2019-07-05,24.474999999999998,27.55,5
2019-07-06,25.391666666666666,27.7625,6
2019-07-07,23.320833333333336,27.412499999999998,7
