bus,load_mw,datetime,day_index,hour_index
178,22.49294399886592,2019-07-01 00:00:00,1,1.0
179,8.142652209714344,2019-07-01 00:00:00,1,1.0
180,51.20502290110304,2019-07-01 00:00:00,1,1.0
183,10.182751996122,2019-07-01 00:00:00,1,1.0
184,10.283811023497414,2019-07-01 00:00:00,1,1.0
185,2.2646933488373273,2019-07-01 00:00:00,1,1.0
189,17.033691755831164,2019-07-01 00:00:00,1,1.0
190,7.8070834441404005,2019-07-01 00:00:00,1,1.0
191,52.01313561269606,2019-07-01 00:00:00,1,1.0
192,19.808595310853722,2019-07-01 00:00:00,1,1.0
193,40.578324070843735,2019-07-01 00:00:00,1,1.0
197,4.995761208935148,2019-07-01 00:00:00,1,1.0
198,4.051434653609157,2019-07-01 00:00:00,1,1.0
199,9.350186559373642,2019-07-01 00:00:00,1,1.0
1,6.598132374611424,2019-07-01 01:00:00,1,2.0
3,1.4988813069252933,2019-07-01 01:00:00,1,2.0
5,7.50987263548428,2019-07-01 01:00:00,1,2.0
7,20.033349191727382,2019-07-01 01:00:00,1,2.0
9,38.13410837495885,2019-07-01 01:00:00,1,2.0
11,0.25330120101111375,2019-07-01 01:00:00,1,2.0
12,2.4812767306654924,2019-07-01 01:00:00,1,2.0
15,44.892310157136286,2019-07-01 01:00:00,1,2.0
17,0.7014681086451224,2019-07-01 01:00:00,1,2.0
18,0.6667258801269037,2019-07-01 01:00:00,1,2.0
19,1.0645174752053685,2019-07-01 01:00:00,1,2.0
20,3.8910137951734463,2019-07-01 01:00:00,1,2.0
22,1.3042071753235445,2019-07-01 01:00:00,1,2.0
23,2.2573238704999983,2019-07-01 01:00:00,1,2.0
25,1.3639415813789806,2019-07-01 01:00:00,1,2.0
27,2.1618609682592766,2019-07-01 01:00:00,1,2.0
29,50.59424598211923,2019-07-01 01:00:00,1,2.0
31,0.4520684822818579,2019-07-01 01:00:00,1,2.0
32,5.512067390114959,2019-07-01 01:00:00,1,2.0
34,18.20546631113575,2019-07-01 01:00:00,1,2.0
36,3.26808866761565,2019-07-01 01:00:00,1,2.0
37,28.444252250503588,2019-07-01 01:00:00,1,2.0
38,7.358810275473571,2019-07-01 01:00:00,1,2.0
39,2.0199783771100495,2019-07-01 01:00:00,1,2.0
40,35.79172361115504,2019-07-01 01:00:00,1,2.0
41,9.936101841016255,2019-07-01 01:00:00,1,2.0
42,1.8946038071034517,2019-07-01 01:00:00,1,2.0
43,4.026645694119039,2019-07-01 01:00:00,1,2.0
45,6.453714364659146,2019-07-01 01:00:00,1,2.0
46,1.4943813388600085,2019-07-01 01:00:00,1,2.0
47,1.5971726582111652,2019-07-01 01:00:00,1,2.0
53,2.299271028291021,2019-07-01 01:00:00,1,2.0
55,1.2954202293795622,2019-07-01 01:00:00,1,2.0
56,2.646595200677207,2019-07-01 01:00:00,1,2.0
57,3.696630469564844,2019-07-01 01:00:00,1,2.0
58,4.5945122589162555,2019-07-01 01:00:00,1,2.0
59,3.7852453382186964,2019-07-01 01:00:00,1,2.0
60,18.532769437344676,2019-07-01 01:00:00,1,2.0
61,19.00546882316835,2019-07-01 01:00:00,1,2.0
62,7.672005799436683,2019-07-01 01:00:00,1,2.0
73,16.61539155036764,2019-07-01 01:00:00,1,2.0
74,3.438683087726984,2019-07-01 01:00:00,1,2.0
79,1.372091185497385,2019-07-01 01:00:00,1,2.0
81,6.565571784056845,2019-07-01 01:00:00,1,2.0
82,2.8845861073865082,2019-07-01 01:00:00,1,2.0
83,3.608831375076252,2019-07-01 01:00:00,1,2.0
84,4.229693785136009,2019-07-01 01:00:00,1,2.0
85,7.866538395147964,2019-07-01 01:00:00,1,2.0
87,47.793581308040416,2019-07-01 01:00:00,1,2.0
88,64.26668685309167,2019-07-01 01:00:00,1,2.0
92,3.0664630316106316,2019-07-01 01:00:00,1,2.0
94,2.6431962525931487,2019-07-01 01:00:00,1,2.0
95,2.768394488789982,2019-07-01 01:00:00,1,2.0
96,6.867024606256864,2019-07-01 01:00:00,1,2.0
98,11.034245768468377,2019-07-01 01:00:00,1,2.0
99,32.40925934839185,2019-07-01 01:00:00,1,2.0
100,0.4484850507309134,2019-07-01 01:00:00,1,2.0
105,1.99027727592214,2019-07-01 01:00:00,1,2.0
106,45.54370831913446,2019-07-01 01:00:00,1,2.0
107,8.860209176395214,2019-07-01 01:00:00,1,2.0
108,4.9552991472081045,2019-07-01 01:00:00,1,2.0
109,10.754318511863605,2019-07-01 01:00:00,1,2.0
110,8.328719126255343,2019-07-01 01:00:00,1,2.0
116,29.883380200458145,2019-07-01 01:00:00,1,2.0
117,3.6956280356787214,2019-07-01 01:00:00,1,2.0
118,15.397538586159628,2019-07-01 01:00:00,1,2.0
119,1.6012916124285173,2019-07-01 01:00:00,1,2.0
121,13.822118446761555,2019-07-01 01:00:00,1,2.0
128,75.65587941143484,2019-07-01 01:00:00,1,2.0
129,4.47316411790261,2019-07-01 01:00:00,1,2.0
130,29.206593368548873,2019-07-01 01:00:00,1,2.0
131,24.847236754431226,2019-07-01 01:00:00,1,2.0
136,1.1612566167565785,2019-07-01 01:00:00,1,2.0
137,1.911209787415079,2019-07-01 01:00:00,1,2.0
138,6.437155946943312,2019-07-01 01:00:00,1,2.0
139,8.08918165562123,2019-07-01 01:00:00,1,2.0
140,1.3061436524870325,2019-07-01 01:00:00,1,2.0
141,34.08006076684904,2019-07-01 01:00:00,1,2.0
142,23.967939329019906,2019-07-01 01:00:00,1,2.0
143,9.03149668156495,2019-07-01 01:00:00,1,2.0
144,16.35418796150602,2019-07-01 01:00:00,1,2.0
147,27.801488975647565,2019-07-01 01:00:00,1,2.0
156,13.48021303082471,2019-07-01 01:00:00,1,2.0
157,7.63853788441364,2019-07-01 01:00:00,1,2.0
158,1.360256104607774,2019-07-01 01:00:00,1,2.0
161,1.2600758317581717,2019-07-01 01:00:00,1,2.0
162,45.42347822446447,2019-07-01 01:00:00,1,2.0
170,6.916920784541765,2019-07-01 01:00:00,1,2.0
171,4.750495910707202,2019-07-01 01:00:00,1,2.0
172,7.9627860242738935,2019-07-01 01:00:00,1,2.0
173,2.722925582887653,2019-07-01 01:00:00,1,2.0
174,7.180021308489917,2019-07-01 01:00:00,1,2.0
175,19.21042343665579,2019-07-01 01:00:00,1,2.0
176,11.626854368738382,2019-07-01 01:00:00,1,2.0
178,20.512756456092124,2019-07-01 01:00:00,1,2.0
179,7.234832809648372,2019-07-01 01:00:00,1,2.0
180,44.6456941900758,2019-07-01 01:00:00,1,2.0
183,9.115756589737218,2019-07-01 01:00:00,1,2.0
184,9.563250257044006,2019-07-01 01:00:00,1,2.0
185,1.9302813284171998,2019-07-01 01:00:00,1,2.0
189,14.27570389364844,2019-07-01 01:00:00,1,2.0
190,6.59754361024824,2019-07-01 01:00:00,1,2.0
191,48.205731141606705,2019-07-01 01:00:00,1,2.0
192,21.36283796065338,2019-07-01 01:00:00,1,2.0
193,34.998339052996904,2019-07-01 01:00:00,1,2.0
197,4.549830798915382,2019-07-01 01:00:00,1,2.0
198,4.101914328972235,2019-07-01 01:00:00,1,2.0
199,8.194465719905235,2019-07-01 01:00:00,1,2.0
1,6.259270144862132,2019-07-01 02:00:00,1,3.0
3,1.3914364587618173,2019-07-01 02:00:00,1,3.0
5,7.739840825935671,2019-07-01 02:00:00,1,3.0
7,21.707270200138513,2019-07-01 02:00:00,1,3.0
9,38.05186555093223,2019-07-01 02:00:00,1,3.0
11,0.25214192710223,2019-07-01 02:00:00,1,3.0
12,2.405472684203021,2019-07-01 02:00:00,1,3.0
15,42.9257030056864,2019-07-01 02:00:00,1,3.0
17,0.6758589394590616,2019-07-01 02:00:00,1,3.0
18,0.6363874837627003,2019-07-01 02:00:00,1,3.0
19,0.9814292219888943,2019-07-01 02:00:00,1,3.0
20,4.360086856802271,2019-07-01 02:00:00,1,3.0
22,1.1831096126978746,2019-07-01 02:00:00,1,3.0
23,2.0362171701348024,2019-07-01 02:00:00,1,3.0
25,1.137726349305346,2019-07-01 02:00:00,1,3.0
27,2.158465554268752,2019-07-01 02:00:00,1,3.0
29,56.69500225321434,2019-07-01 02:00:00,1,3.0
31,0.491812807016318,2019-07-01 02:00:00,1,3.0
32,6.28180584969715,2019-07-01 02:00:00,1,3.0
34,19.006448875796124,2019-07-01 02:00:00,1,3.0
36,3.52541436225418,2019-07-01 02:00:00,1,3.0
37,27.446364459160385,2019-07-01 02:00:00,1,3.0
38,6.4808311438172,2019-07-01 02:00:00,1,3.0
39,1.8607162944914677,2019-07-01 02:00:00,1,3.0
40,32.42021303618233,2019-07-01 02:00:00,1,3.0
41,8.751216831803347,2019-07-01 02:00:00,1,3.0
42,1.7791506117553044,2019-07-01 02:00:00,1,3.0
43,3.633122692361448,2019-07-01 02:00:00,1,3.0
45,5.783258383640606,2019-07-01 02:00:00,1,3.0
46,1.3493850375140202,2019-07-01 02:00:00,1,3.0
47,1.5667155539734876,2019-07-01 02:00:00,1,3.0
53,2.169734865722853,2019-07-01 02:00:00,1,3.0
55,1.1298468301681543,2019-07-01 02:00:00,1,3.0
56,2.4824448683627036,2019-07-01 02:00:00,1,3.0
57,4.080246608024107,2019-07-01 02:00:00,1,3.0
58,4.012454967777621,2019-07-01 02:00:00,1,3.0
59,3.2717554762320593,2019-07-01 02:00:00,1,3.0
60,19.35791465854547,2019-07-01 02:00:00,1,3.0
61,17.445684922757675,2019-07-01 02:00:00,1,3.0
62,7.4753271064995195,2019-07-01 02:00:00,1,3.0
73,15.833898982159106,2019-07-01 02:00:00,1,3.0
74,2.937766946364754,2019-07-01 02:00:00,1,3.0
79,1.3972267373912242,2019-07-01 02:00:00,1,3.0
81,7.087386134809213,2019-07-01 02:00:00,1,3.0
82,2.8386124604118863,2019-07-01 02:00:00,1,3.0
83,3.378844355075799,2019-07-01 02:00:00,1,3.0
84,4.575214671654005,2019-07-01 02:00:00,1,3.0
85,6.780247760133063,2019-07-01 02:00:00,1,3.0
87,43.12859404284456,2019-07-01 02:00:00,1,3.0
88,56.63046794838362,2019-07-01 02:00:00,1,3.0
92,2.5529584713930302,2019-07-01 02:00:00,1,3.0
94,2.743448549012976,2019-07-01 02:00:00,1,3.0
95,2.81243743859699,2019-07-01 02:00:00,1,3.0
96,6.3684115826338346,2019-07-01 02:00:00,1,3.0
98,10.703009634889414,2019-07-01 02:00:00,1,3.0
99,32.88850008203536,2019-07-01 02:00:00,1,3.0
100,0.5046592946388271,2019-07-01 02:00:00,1,3.0
105,1.8153999060764527,2019-07-01 02:00:00,1,3.0
106,49.61018279925936,2019-07-01 02:00:00,1,3.0
107,9.238608752061651,2019-07-01 02:00:00,1,3.0
108,4.274577004904899,2019-07-01 02:00:00,1,3.0
109,9.612388338507245,2019-07-01 02:00:00,1,3.0
110,7.444383028268143,2019-07-01 02:00:00,1,3.0
116,32.982443719037995,2019-07-01 02:00:00,1,3.0
117,3.2414648031025686,2019-07-01 02:00:00,1,3.0
118,16.533685280853003,2019-07-01 02:00:00,1,3.0
119,1.5441149097919635,2019-07-01 02:00:00,1,3.0
121,15.271931539196558,2019-07-01 02:00:00,1,3.0
128,71.25931450682762,2019-07-01 02:00:00,1,3.0
129,3.6663847290577287,2019-07-01 02:00:00,1,3.0
130,27.080493837606372,2019-07-01 02:00:00,1,3.0
131,25.468616231135382,2019-07-01 02:00:00,1,3.0
136,1.0219110409753205,2019-07-01 02:00:00,1,3.0
137,2.058217370544029,2019-07-01 02:00:00,1,3.0
138,5.6435978230098005,2019-07-01 02:00:00,1,3.0
139,6.953835237059613,2019-07-01 02:00:00,1,3.0
140,1.2800717902771057,2019-07-01 02:00:00,1,3.0
141,34.34666501573184,2019-07-01 02:00:00,1,3.0
142,25.502927301238163,2019-07-01 02:00:00,1,3.0
143,8.847882562508861,2019-07-01 02:00:00,1,3.0
144,15.26353404360819,2019-07-01 02:00:00,1,3.0
147,31.01606941758589,2019-07-01 02:00:00,1,3.0
156,12.113507849266433,2019-07-01 02:00:00,1,3.0
157,8.206502183157365,2019-07-01 02:00:00,1,3.0
158,1.323996626777019,2019-07-01 02:00:00,1,3.0
161,1.2767264333781962,2019-07-01 02:00:00,1,3.0
162,44.83807255617654,2019-07-01 02:00:00,1,3.0
170,7.575395760240805,2019-07-01 02:00:00,1,3.0
171,5.022767861377824,2019-07-01 02:00:00,1,3.0
172,7.679268586253503,2019-07-01 02:00:00,1,3.0
173,2.5051144631990416,2019-07-01 02:00:00,1,3.0
174,7.027691427267859,2019-07-01 02:00:00,1,3.0
175,18.344295704366278,2019-07-01 02:00:00,1,3.0
176,10.484048110388745,2019-07-01 02:00:00,1,3.0
178,21.82365921770646,2019-07-01 02:00:00,1,3.0
179,6.57651065640428,2019-07-01 02:00:00,1,3.0
180,41.363902528366644,2019-07-01 02:00:00,1,3.0
183,9.804609980475185,2019-07-01 02:00:00,1,3.0
184,10.084528096206661,2019-07-01 02:00:00,1,3.0
185,1.7846407736217562,2019-07-01 02:00:00,1,3.0
189,14.50262458331838,2019-07-01 02:00:00,1,3.0
190,5.913474098052247,2019-07-01 02:00:00,1,3.0
191,51.58560790203316,2019-07-01 02:00:00,1,3.0
192,18.961399722565503,2019-07-01 02:00:00,1,3.0
193,36.19861488367955,2019-07-01 02:00:00,1,3.0
197,4.988570851137774,2019-07-01 02:00:00,1,3.0
198,3.4954503873256355,2019-07-01 02:00:00,1,3.0
199,8.972482709039594,2019-07-01 02:00:00,1,3.0
1,6.921824940400727,2019-07-01 03:00:00,1,4.0
3,1.4923192462225163,2019-07-01 03:00:00,1,4.0
5,7.087917310684785,2019-07-01 03:00:00,1,4.0
7,20.266905672440306,2019-07-01 03:00:00,1,4.0
9,35.40838441737771,2019-07-01 03:00:00,1,4.0
11,0.2768032373525702,2019-07-01 03:00:00,1,4.0
12,2.068458204748473,2019-07-01 03:00:00,1,4.0
15,42.30813663822749,2019-07-01 03:00:00,1,4.0
17,0.6391128826322341,2019-07-01 03:00:00,1,4.0
18,0.7370319827711376,2019-07-01 03:00:00,1,4.0
19,0.9574332136178565,2019-07-01 03:00:00,1,4.0
20,3.7372434574873807,2019-07-01 03:00:00,1,4.0
22,1.2358396376430707,2019-07-01 03:00:00,1,4.0
23,2.1565396611887415,2019-07-01 03:00:00,1,4.0
25,1.0823164369536713,2019-07-01 03:00:00,1,4.0
27,1.883849360671359,2019-07-01 03:00:00,1,4.0
29,50.968269834751844,2019-07-01 03:00:00,1,4.0
31,0.42641570021584324,2019-07-01 03:00:00,1,4.0
32,5.756348163764967,2019-07-01 03:00:00,1,4.0
34,19.994510032868295,2019-07-01 03:00:00,1,4.0
36,3.0676309585808577,2019-07-01 03:00:00,1,4.0
37,24.24656658353264,2019-07-01 03:00:00,1,4.0
38,6.071981239285171,2019-07-01 03:00:00,1,4.0
39,1.662770641576879,2019-07-01 03:00:00,1,4.0
40,35.38665309853331,2019-07-01 03:00:00,1,4.0
41,10.065397938823486,2019-07-01 03:00:00,1,4.0
42,1.677102043634764,2019-07-01 03:00:00,1,4.0
43,3.9302043299942784,2019-07-01 03:00:00,1,4.0
45,6.129216302598744,2019-07-01 03:00:00,1,4.0
46,1.3212952432815204,2019-07-01 03:00:00,1,4.0
47,1.5018330070472123,2019-07-01 03:00:00,1,4.0
53,2.4635648029787673,2019-07-01 03:00:00,1,4.0
55,1.1813903848298877,2019-07-01 03:00:00,1,4.0
56,2.280640078142501,2019-07-01 03:00:00,1,4.0
57,3.6263640548138247,2019-07-01 03:00:00,1,4.0
58,3.91305322388552,2019-07-01 03:00:00,1,4.0
59,3.3957578430209585,2019-07-01 03:00:00,1,4.0
60,19.229355431372696,2019-07-01 03:00:00,1,4.0
61,17.20209959542164,2019-07-01 03:00:00,1,4.0
62,6.811375678188827,2019-07-01 03:00:00,1,4.0
73,16.952116417948442,2019-07-01 03:00:00,1,4.0
74,3.1545300275691757,2019-07-01 03:00:00,1,4.0
79,1.315109182415821,2019-07-01 03:00:00,1,4.0
81,6.4305311390394015,2019-07-01 03:00:00,1,4.0
82,2.5402520228331356,2019-07-01 03:00:00,1,4.0
83,3.137359296126457,2019-07-01 03:00:00,1,4.0
84,4.110837345327294,2019-07-01 03:00:00,1,4.0
85,7.435425524024548,2019-07-01 03:00:00,1,4.0
87,40.58309719880407,2019-07-01 03:00:00,1,4.0
88,53.67541927003043,2019-07-01 03:00:00,1,4.0
92,2.625959866780407,2019-07-01 03:00:00,1,4.0
94,2.8492876969242986,2019-07-01 03:00:00,1,4.0
95,2.436736340981273,2019-07-01 03:00:00,1,4.0
96,7.05288383901211,2019-07-01 03:00:00,1,4.0
98,9.823415945560132,2019-07-01 03:00:00,1,4.0
99,33.01269702095003,2019-07-01 03:00:00,1,4.0
100,0.4140525082177314,2019-07-01 03:00:00,1,4.0
105,1.8135596450619176,2019-07-01 03:00:00,1,4.0
106,47.58766482857342,2019-07-01 03:00:00,1,4.0
107,8.434393700201895,2019-07-01 03:00:00,1,4.0
108,4.828426014650777,2019-07-01 03:00:00,1,4.0
109,10.36243294746208,2019-07-01 03:00:00,1,4.0
110,7.448610569364067,2019-07-01 03:00:00,1,4.0
116,28.24825040812248,2019-07-01 03:00:00,1,4.0
117,3.418416622968859,2019-07-01 03:00:00,1,4.0
118,14.907237486107853,2019-07-01 03:00:00,1,4.0
119,1.7120879496137469,2019-07-01 03:00:00,1,4.0
121,14.35294071654174,2019-07-01 03:00:00,1,4.0
128,74.5952195329518,2019-07-01 03:00:00,1,4.0
129,4.14200417732734,2019-07-01 03:00:00,1,4.0
130,24.236272565089866,2019-07-01 03:00:00,1,4.0
131,23.111437483519214,2019-07-01 03:00:00,1,4.0
136,1.0096696495396569,2019-07-01 03:00:00,1,4.0
137,1.862001486811539,2019-07-01 03:00:00,1,4.0
138,5.8066833099490465,2019-07-01 03:00:00,1,4.0
139,6.974259890065244,2019-07-01 03:00:00,1,4.0
140,1.2072259451582517,2019-07-01 03:00:00,1,4.0
141,31.18165953050252,2019-07-01 03:00:00,1,4.0
142,23.72370769418523,2019-07-01 03:00:00,1,4.0
143,8.322730137147365,2019-07-01 03:00:00,1,4.0
144,15.428217416977507,2019-07-01 03:00:00,1,4.0
147,30.080697455768462,2019-07-01 03:00:00,1,4.0
156,12.729583380802522,2019-07-01 03:00:00,1,4.0
157,7.8160085681266915,2019-07-01 03:00:00,1,4.0
158,1.323753244073808,2019-07-01 03:00:00,1,4.0
161,1.226275302855359,2019-07-01 03:00:00,1,4.0
162,37.070589338677436,2019-07-01 03:00:00,1,4.0
170,6.298440848660446,2019-07-01 03:00:00,1,4.0
171,4.344992974799593,2019-07-01 03:00:00,1,4.0
172,8.244668970614821,2019-07-01 03:00:00,1,4.0
173,2.330961381508213,2019-07-01 03:00:00,1,4.0
174,6.4427827136168,2019-07-01 03:00:00,1,4.0
175,17.588559858657735,2019-07-01 03:00:00,1,4.0
176,10.911387361041859,2019-07-01 03:00:00,1,4.0
178,18.998274178389924,2019-07-01 03:00:00,1,4.0
179,6.530598384047101,2019-07-01 03:00:00,1,4.0
180,43.43627182833624,2019-07-01 03:00:00,1,4.0
183,10.172031127650419,2019-07-01 03:00:00,1,4.0
184,9.268059877026687,2019-07-01 03:00:00,1,4.0
185,2.0206105674403463,2019-07-01 03:00:00,1,4.0
189,16.112457379652945,2019-07-01 03:00:00,1,4.0
190,6.778785622251179,2019-07-01 03:00:00,1,4.0
191,49.9604994005033,2019-07-01 03:00:00,1,4.0
