datetime,air_temperature
2015-01-01,-3.625
2015-01-02,-0.6666666666666666
2015-01-03,0.4166666666666667
2015-01-04,-5.708333333333333
2015-01-05,-10.75
2015-01-06,-7.041666666666667
2015-01-07,-14.666666666666666
2015-01-08,-11.625
2015-01-09,-12.0
2015-01-10,-9.125
2015-01-11,-2.375
2015-01-12,-6.208333333333333
2015-01-13,-11.458333333333334
2015-01-14,-9.75
2015-01-15,-3.7083333333333335
2015-01-16,-0.8333333333333334
2015-01-17,2.3333333333333335
2015-01-18,1.6666666666666667
2015-01-19,2.0416666666666665
2015-01-20,1.5416666666666667
2015-01-21,0.4166666666666667
2015-01-22,-0.4583333333333333
2015-01-23,-0.375
2015-01-24,1.5416666666666667
2015-01-25,0.4166666666666667
2015-01-26,-1.4583333333333333
2015-01-27,-0.25
2015-01-28,0.4166666666666667
2015-01-29,1.375
2015-01-30,-1.625
2015-01-31,-0.041666666666666664
2015-02-01,-0.9166666666666666
2015-02-02,-8.083333333333334
2015-02-03,-2.6666666666666665
2015-02-04,-4.708333333333333
2015-02-05,-11.375
2015-02-06,-2.0
2015-02-07,3.875
2015-02-08,4.166666666666667
2015-02-09,-1.4166666666666667
2015-02-10,-0.8333333333333334
2015-02-11,-0.5
2015-02-12,-6.708333333333333
2015-02-13,-4.0
2015-02-14,-7.208333333333333
2015-02-15,-10.625
2015-02-16,-8.375
2015-02-17,-5.541666666666667
2015-02-18,-11.833333333333334
2015-02-19,-13.458333333333334
2015-02-20,-7.541666666666667
2015-02-21,-1.7916666666666667
2015-02-22,-7.083333333333333
2015-02-23,-13.125
2015-02-24,-6.208333333333333
2015-02-25,-2.25
2015-02-26,-6.166666666666667
2015-02-27,-10.416666666666666
2015-02-28,-5.916666666666667
2015-03-01,-3.1666666666666665
2015-03-02,-2.7916666666666665
2015-03-03,1.0
2015-03-04,-5.208333333333333
2015-03-05,-8.75
2015-03-06,-3.6666666666666665
2015-03-07,3.4583333333333335
2015-03-08,3.75
2015-03-09,5.0
2015-03-10,6.583333333333333
2015-03-11,7.333333333333333
2015-03-12,5.916666666666667
2015-03-13,7.833333333333333
2015-03-14,7.708333333333333
2015-03-15,8.666666666666666
2015-03-16,14.416666666666666
2015-03-17,5.666666666666667
2015-03-18,2.5416666666666665
2015-03-19,3.8333333333333335
2015-03-20,5.375
2015-03-21,7.791666666666667
2015-03-22,5.125
2015-03-23,2.5
2015-03-24,3.1666666666666665
2015-03-25,5.375
2015-03-26,2.7083333333333335
2015-03-27,-0.5833333333333334
2015-03-28,-0.6666666666666666
2015-03-29,3.8333333333333335
2015-03-30,8.833333333333334
2015-03-31,12.333333333333334
2015-04-01,13.583333333333334
2015-04-02,15.083333333333334
2015-04-03,7.0
2015-04-04,5.666666666666667
2015-04-05,9.333333333333334
2015-04-06,12.458333333333334
2015-04-07,15.75
2015-04-08,19.541666666666668
2015-04-09,18.25
2015-04-10,9.541666666666666
2015-04-11,9.208333333333334
2015-04-12,13.666666666666666
2015-04-13,14.666666666666666
2015-04-14,11.708333333333334
2015-04-15,13.0
2015-04-16,16.666666666666668
2015-04-17,18.666666666666668
2015-04-18,18.208333333333332
2015-04-19,15.333333333333334
2015-04-20,9.458333333333334
2015-04-21,9.458333333333334
2015-04-22,5.958333333333333
2015-04-23,7.541666666666667
2015-04-24,9.75
2015-04-25,10.333333333333334
2015-04-26,8.625
2015-04-27,9.541666666666666
2015-04-28,11.125
2015-04-29,14.25
2015-04-30,10.875
2015-05-01,12.375
2015-05-02,16.166666666666668
2015-05-03,19.208333333333332
2015-05-04,21.291666666666668
2015-05-05,21.25
2015-05-06,21.708333333333332
2015-05-07,21.708333333333332
2015-05-08,20.375
2015-05-09,19.0
2015-05-10,21.166666666666668
2015-05-11,16.416666666666668
2015-05-12,11.791666666666666
2015-05-13,12.833333333333334
2015-05-14,15.416666666666666
2015-05-15,20.791666666666668
2015-05-16,20.583333333333332
2015-05-17,21.916666666666668
2015-05-18,18.75
2015-05-19,11.0
2015-05-20,7.958333333333333
2015-05-21,10.875
2015-05-22,15.833333333333334
2015-05-23,18.708333333333332
2015-05-24,20.333333333333332
2015-05-25,21.833333333333332
2015-05-26,21.125
2015-05-27,20.75
2015-05-28,21.458333333333332
2015-05-29,22.166666666666668
2015-05-30,18.291666666666668
2015-05-31,11.5
2015-06-01,14.708333333333334
2015-06-02,16.125
2015-06-03,17.916666666666668
2015-06-04,20.916666666666668
2015-06-05,21.833333333333332
2015-06-06,19.666666666666668
2015-06-07,23.875
2015-06-08,22.041666666666668
2015-06-09,23.541666666666668
2015-06-10,24.75
2015-06-11,24.916666666666668
2015-06-12,25.083333333333332
2015-06-13,24.75
2015-06-14,23.958333333333332
2015-06-15,23.875
2015-06-16,22.583333333333332
2015-06-17,22.416666666666668
2015-06-18,22.833333333333332
2015-06-19,20.541666666666668
2015-06-20,23.083333333333332
2015-06-21,24.083333333333332
2015-06-22,25.875
2015-06-23,22.541666666666668
2015-06-24,22.458333333333332
2015-06-25,24.833333333333332
2015-06-26,20.083333333333332
2015-06-27,19.875
2015-06-28,20.375
2015-06-29,20.791666666666668
2015-06-30,22.0
2015-07-01,22.0
2015-07-02,17.833333333333332
2015-07-03,19.916666666666668
2015-07-04,20.958333333333332
2015-07-05,22.041666666666668
2015-07-06,24.458333333333332
2015-07-07,19.416666666666668
2015-07-08,15.708333333333334
2015-07-09,18.708333333333332
2015-07-10,19.708333333333332
2015-07-11,23.458333333333332
2015-07-12,26.041666666666668
2015-07-13,27.291666666666668
2015-07-14,25.666666666666668
