bus,datetime,load_mw
20,2016-07-25 01:00:00,4.878801682941925
22,2016-07-25 01:00:00,1.5064381699369178
23,2016-07-25 01:00:00,2.5557729663957813
25,2016-07-25 01:00:00,1.4303152681094138
27,2016-07-25 01:00:00,2.4686183930521093
29,2016-07-25 01:00:00,60.01395338952585
31,2016-07-25 01:00:00,0.5179742687373529
32,2016-07-25 01:00:00,6.540697307854983
34,2016-07-25 01:00:00,21.084609430040228
36,2016-07-25 01:00:00,3.8000237607428358
37,2016-07-25 01:00:00,30.059793583621822
38,2016-07-25 01:00:00,7.472090182566061
39,2016-07-25 01:00:00,2.0688517116881395
40,2016-07-25 01:00:00,40.637544692578984
41,2016-07-25 01:00:00,11.256409238017868
42,2016-07-25 01:00:00,2.2170870607987765
43,2016-07-25 01:00:00,4.239535629570932
45,2016-07-25 01:00:00,6.2403477830073335
46,2016-07-25 01:00:00,1.515793886565817
47,2016-07-25 01:00:00,1.9443987886213387
53,2016-07-25 01:00:00,2.8435218835782914
55,2016-07-25 01:00:00,1.4003810138158346
56,2016-07-25 01:00:00,2.8597113008611372
57,2016-07-25 01:00:00,4.289567166459175
58,2016-07-25 01:00:00,4.796607354144089
59,2016-07-25 01:00:00,3.9932409367834074
60,2016-07-25 01:00:00,22.31784496743117
61,2016-07-25 01:00:00,23.251833298450144
62,2016-07-25 01:00:00,8.465226839590796
73,2016-07-25 01:00:00,19.900710581787784
74,2016-07-25 01:00:00,3.5722803141639976
79,2016-07-25 01:00:00,1.6073192219451278
81,2016-07-25 01:00:00,8.253800528134905
82,2016-07-25 01:00:00,3.3628652436110746
83,2016-07-25 01:00:00,3.9130884913528954
84,2016-07-25 01:00:00,5.119438412203829
85,2016-07-25 01:00:00,8.744384062662178
87,2016-07-25 01:00:00,52.48418664708176
88,2016-07-25 01:00:00,66.482785871147
92,2016-07-25 01:00:00,3.236355448963791
94,2016-07-25 01:00:00,3.1728974062645707
95,2016-07-25 01:00:00,2.8904475947980632
96,2016-07-25 01:00:00,7.157763621755935
98,2016-07-25 01:00:00,12.489984031946113
99,2016-07-25 01:00:00,38.373096003216325
100,2016-07-25 01:00:00,0.5205480818134128
105,2016-07-25 01:00:00,2.3705467171845234
106,2016-07-25 01:00:00,55.88327557209607
107,2016-07-25 01:00:00,9.952368803060358
108,2016-07-25 01:00:00,5.451614887744689
109,2016-07-25 01:00:00,11.473748877795938
110,2016-07-25 01:00:00,9.318461524131711
116,2016-07-25 01:00:00,36.006016643501795
117,2016-07-25 01:00:00,4.448489229513531
118,2016-07-25 01:00:00,19.8149693356851
119,2016-07-25 01:00:00,1.8664782789759773
121,2016-07-25 01:00:00,14.573841055028913
128,2016-07-25 01:00:00,80.74284090638255
129,2016-07-25 01:00:00,4.105361939064676
130,2016-07-25 01:00:00,31.735583763263204
131,2016-07-25 01:00:00,30.349404891845538
136,2016-07-25 01:00:00,1.3058346511330432
137,2016-07-25 01:00:00,2.3527545887301895
138,2016-07-25 01:00:00,7.69992262516207
139,2016-07-25 01:00:00,8.403456118886774
140,2016-07-25 01:00:00,1.4835101636487074
141,2016-07-25 01:00:00,42.23279148649372
142,2016-07-25 01:00:00,26.915891995992865
143,2016-07-25 01:00:00,9.095924807548716
144,2016-07-25 01:00:00,20.64567068170821
147,2016-07-25 01:00:00,37.68952015483201
156,2016-07-25 01:00:00,17.373433792810406
157,2016-07-25 01:00:00,9.465272435263984
158,2016-07-25 01:00:00,1.3847037519005292
161,2016-07-25 01:00:00,1.444475264712279
162,2016-07-25 01:00:00,46.290598085260406
170,2016-07-25 01:00:00,8.628774481321956
171,2016-07-25 01:00:00,5.846701070541032
172,2016-07-25 01:00:00,9.041728882229826
173,2016-07-25 01:00:00,3.2421166298535047
174,2016-07-25 01:00:00,8.555913978857376
