datetime,water_temperature
2015-01-01,2.3940293348371995
2015-01-02,3.4624103886375153
2015-01-03,3.955689467877547
2015-01-04,1.8445917947116666
2015-01-05,0.9995874585056659
2015-01-06,1.5631663952369004
2015-01-07,0.6471069285359976
2015-01-08,0.9033642918639748
2015-01-09,0.8655712989211048
2015-01-10,1.212175602358759
2015-01-11,2.7996086646788156
2015-01-12,1.7332449637016127
2015-01-13,0.920804149825784
2015-01-14,1.1247673063100745
2015-01-15,2.36915498209889
2015-01-16,3.391756660471727
2015-01-17,4.983947931435632
2015-01-18,4.6026472902492825
2015-01-19,4.813934097981931
2015-01-20,4.53401985556103
2015-01-21,3.955689467877547
2015-01-22,3.5526470692322936
2015-01-23,3.5893461255253767
2015-01-24,4.53401985556103
2015-01-25,3.955689467877547
2015-01-26,3.138639258257343
2015-01-27,3.6450492311937976
2015-01-28,3.955689467877547
2015-01-29,4.443901199442026
2015-01-30,3.074213889705908
2015-01-31,3.7396515587203942
2015-02-01,3.3569354638631634
2015-02-02,1.3754015724574677
2015-02-03,2.699340123758599
2015-02-04,2.0901551170839583
2015-02-05,0.9296765769246317
2015-02-06,2.9338303547886717
2015-02-07,5.967749490452334
2015-02-08,6.170357416437687
2015-02-09,3.154944403530326
2015-02-10,3.391756660471727
2015-02-11,3.534427610976831
2015-02-12,1.628962044443735
2015-02-13,2.2841112118818496
2015-02-14,1.5313432373414555
2015-02-15,1.0143091678843317
2015-02-16,1.3273585382527453
2015-02-17,1.883348560591263
2015-02-18,0.8821249527340257
2015-02-19,0.7360482195343407
2015-02-20,1.4697762442814915
2015-02-21,3.011047071511891
2015-02-22,1.5551444334607325
2015-02-23,0.7633653527830905
2015-02-24,1.7332449637016127
2015-02-25,2.8436775065770474
2015-02-26,1.742248434498626
2015-02-27,1.039416295206514
2015-02-28,1.7973125137834587
2015-03-01,2.535547060369199
2015-03-02,2.6574459318169046
2015-03-03,4.246847305194208
2015-03-04,1.963418205636883
2015-03-05,1.2683041710541003
2015-03-06,2.381559784515875
2015-03-07,5.687498024277498
2015-03-08,5.882542235912393
2015-03-09,6.778644484012681
2015-03-10,8.054268171960821
2015-03-11,8.712102702068455
2015-03-12,7.498159459277992
2015-03-13,9.168973467694379
2015-03-14,9.053416871711676
2015-03-15,9.961298799328478
2015-03-16,16.13972174072906
2015-03-17,7.296710939437978
2015-03-18,5.108470924586724
2015-03-19,5.939238984091478
2015-03-20,7.066624341937939
2015-03-21,9.13035661115432
2015-03-22,6.8736553607883195
2015-03-23,5.0833593060379005
2015-03-24,5.497704695844785
2015-03-25,7.066624341937939
2015-03-26,5.209957885945524
2015-03-27,3.498247438007515
2015-03-28,3.4624103886375153
2015-03-29,5.939238984091478
2015-03-30,10.124171582427296
2015-03-31,13.811803772946094
2015-04-01,15.205802581896489
2015-04-02,16.88405731234322
2015-04-03,8.415591770588723
2015-04-04,7.296710939437978
2015-04-05,10.621084929353145
2015-04-06,13.950291966770079
2015-04-07,17.622140474960357
2015-04-08,21.549734052306697
2015-04-09,20.279289045342544
2015-04-10,10.83165399111208
2015-04-11,10.49571908268606
2015-04-12,15.299194096542166
2015-04-13,16.419361818248753
2015-04-14,13.124076944766742
2015-04-15,14.553157215938457
2015-04-16,18.620663874671337
2015-04-17,20.69815469902606
2015-04-18,20.23695851067244
2015-04-19,17.161754530787256
2015-04-20,10.747185719082514
2015-04-21,10.747185719082514
2015-04-22,7.5321124861510675
2015-04-23,8.900722537214374
2015-04-24,11.044195890772816
2015-04-25,11.649187346386034
2015-04-26,9.92080337578941
2015-04-27,10.83165399111208
2015-04-28,12.491001600623656
2015-04-29,15.9530659355089
2015-04-30,12.222819022022883
2015-05-01,13.857935916579187
2015-05-02,18.078770404942045
2015-05-03,21.229992173689137
2015-05-04,23.12572245611307
2015-05-05,23.090302747888927
2015-05-06,23.474065972578202
2015-05-07,23.474065972578202
2015-05-08,22.3223811674661
2015-05-09,21.0271959250561
2015-05-10,23.01914625363808
2015-05-11,18.35061721292092
2015-05-12,13.215264207852435
2015-05-13,14.367244408449132
2015-05-14,17.254093522649587
2015-05-15,22.69374930839639
2015-05-16,22.509342467887112
2015-05-17,23.64421710382997
2015-05-18,20.780931475062427
2015-05-19,12.35665642241105
2015-05-20,9.285407860281804
2015-05-21,12.222819022022883
2015-05-22,17.713792516810223
2015-05-23,20.73958555001493
2015-05-24,22.28468536389749
2015-05-25,23.576480003167397
2015-05-26,22.983409842007127
2015-05-27,22.65707385045222
2015-05-28,23.266340227858326
2015-05-29,23.844832258841997
2015-05-30,20.321540498113485
2015-05-31,12.896886693156027
2015-06-01,16.465917428113194
2015-06-02,18.03329906956532
2015-06-03,19.938478286147916
2015-06-04,22.803154079789667
2015-06-05,23.576480003167397
2015-06-06,21.66809866345508
2015-06-07,25.110715578510824
2015-06-08,23.745012184474504
2015-06-09,24.878106506635817
2015-06-10,25.68848593693037
2015-06-11,25.793210053291098
2015-06-12,25.896251389233885
2015-06-13,25.68848593693037
2015-06-14,25.167783595622506
2015-06-15,25.110715578510824
2015-06-16,24.170497690552015
2015-06-17,24.041538668343534
2015-06-18,24.360661618188082
2015-06-19,22.47215350291636
2015-06-20,24.546892417309035
2015-06-21,25.252575163743444
2015-06-22,26.363058280501214
2015-06-23,24.138421551991588
2015-06-24,24.07394199891167
2015-06-25,25.741058974590313
2015-06-26,22.056410463140146
2015-06-27,21.863466131724998
2015-06-28,22.3223811674661
2015-06-29,22.69374930839639
2015-06-30,23.71152203545772
2015-07-01,23.71152203545772
2015-07-02,19.852519335300517
