datetime,air_temperature,water_temperature
2018-06-28,25.3,24.5
2018-06-29,27.15833333333333,25.9
2018-06-30,27.6625,27.4
2018-07-01,26.9875,27.6
2018-07-02,25.14583333333333,27.7
2018-07-03,26.27083333333333,27.4
2018-07-04,27.741666666666664,28.1
