datetime,air_temperature,water_temperature
2019-01-01,-9999.0,
2019-01-02,-9999.0,
2019-01-03,-9999.0,
2019-01-04,-9999.0,
2019-01-05,-9999.0,
2019-01-06,-9999.0,
2019-01-07,-9999.0,
2019-01-08,-9999.0,
2019-01-09,-9999.0,
2019-01-10,-9999.0,
2019-01-11,-9999.0,
2019-01-12,-9999.0,
2019-01-13,-9999.0,
2019-01-14,-9999.0,
2019-01-15,-9999.0,
2019-01-16,-9999.0,
2019-01-17,-9999.0,
2019-01-18,-9999.0,
2019-01-19,-9999.0,
2019-01-20,-9999.0,
2019-01-21,-9999.0,
2019-01-22,-9999.0,
2019-01-23,-9999.0,
2019-01-24,-9999.0,
2019-01-25,-9999.0,
2019-01-26,-9999.0,
2019-01-27,-9999.0,
2019-01-28,-9999.0,
2019-01-29,-9999.0,
2019-01-30,-9999.0,
2019-01-31,-9999.0,
2019-02-01,-9999.0,
2019-02-02,-9999.0,
2019-02-03,-9999.0,
2019-02-04,-9999.0,
2019-02-05,-9165.725,
2019-02-06,-832.0374999999999,
2019-02-07,4.158333333333333,
2019-02-08,-8.720833333333333,
2019-02-09,-9.366666666666667,
2019-02-10,-3.9458333333333333,
2019-02-11,-416.57916666666665,
2019-02-12,0.8375,
2019-02-13,-4.145833333333333,
2019-02-14,3.5208333333333335,
2019-02-15,-3.5749999999999997,
2019-02-16,-5.4875,
2019-02-17,-2.725,
2019-02-18,-2.6416666666666666,
2019-02-19,-3.3125,
2019-02-20,0.8375,
2019-02-21,1.175,
2019-02-22,0.5875,
2019-02-23,3.8333333333333335,
2019-02-24,-413.3041666666666,
2019-02-25,-5.6875,
2019-02-26,-1.4124999999999999,
2019-02-27,-0.1625,
2019-02-28,-4.6125,
2019-03-01,-1.2166666666666668,
2019-03-02,0.18333333333333332,
2019-03-03,-3.4958333333333336,
2019-03-04,-14.487499999999999,
2019-03-05,-427.5166666666667,
2019-03-06,-9.558333333333334,
2019-03-07,-3.858333333333333,
2019-03-08,-0.44166666666666665,
2019-03-09,2.220833333333333,
2019-03-10,4.408333333333333,
2019-03-11,1.9791666666666667,
2019-03-12,2.0833333333333335,
2019-03-13,8.316666666666666,
2019-03-14,14.104166666666666,
2019-03-15,4.216666666666667,
2019-03-16,1.8875000000000002,
2019-03-17,2.8375,
2019-03-18,1.0875000000000001,
2019-03-19,3.0625,
2019-03-20,5.470833333333334,
2019-03-21,5.55,
2019-03-22,4.641666666666667,
2019-03-23,3.3041666666666667,
2019-03-24,7.441666666666666,
2019-03-25,6.875,
2019-03-26,2.775,
2019-03-27,4.75,
2019-03-28,11.125,9.515384615384615
2019-03-29,11.4375,9.924999999999999
2019-03-30,7.645833333333333,9.795833333333333
2019-03-31,0.4458333333333333,8.825000000000001
2019-04-01,1.4875,8.720833333333333
2019-04-02,-410.8416666666667,8.420833333333333
2019-04-03,6.220833333333334,8.416666666666666
2019-04-04,10.383333333333333,8.579166666666667
2019-04-05,10.15,8.791666666666666
2019-04-06,11.487499999999999,9.674999999999999
2019-04-07,14.475,10.674999999999999
2019-04-08,17.120833333333334,11.691666666666668
2019-04-09,14.75,12.700000000000001
2019-04-10,10.2125,12.916666666666666
2019-04-11,13.612499999999999,12.266666666666666
2019-04-12,11.875,11.979166666666666
2019-04-13,6.954166666666667,11.358333333333334
2019-04-14,4.8500000000000005,10.283333333333333
2019-04-15,4.283333333333333,10.133333333333335
2019-04-16,13.520833333333334,10.954166666666666
2019-04-17,17.108333333333334,12.045833333333334
2019-04-18,15.112499999999999,12.516666666666666
2019-04-19,7.441666666666666,12.200000000000001
2019-04-20,9.049999999999999,12.204166666666666
2019-04-21,12.504166666666668,13.183333333333332
2019-04-22,17.175,14.079166666666666
2019-04-23,15.383333333333333,14.691304347826087
2019-04-24,11.641666666666666,14.879166666666668
2019-04-25,12.620833333333332,15.195833333333333
2019-04-26,13.0625,15.2875
2019-04-27,9.179166666666667,14.558333333333332
2019-04-28,7.383333333333333,13.745833333333332
2019-04-29,11.145833333333334,13.358333333333334
2019-04-30,12.4625,12.529166666666667
2019-05-01,16.695833333333333,11.65
2019-05-02,16.054166666666667,11.1
2019-05-03,11.325000000000001,11.370833333333332
2019-05-04,11.804166666666667,12.233333333333334
2019-05-05,12.991666666666667,12.975
2019-05-06,16.849999999999998,13.808333333333332
2019-05-07,16.2,14.229166666666666
2019-05-08,16.9875,14.220833333333333
2019-05-09,18.716666666666665,14.604166666666666
2019-05-10,10.3375,14.629166666666668
2019-05-11,9.458333333333334,14.583333333333334
2019-05-12,8.166666666666666,14.033333333333333
2019-05-13,10.583333333333334,14.204166666666666
2019-05-14,13.137500000000001,14.4125
2019-05-15,17.0125,14.979166666666666
2019-05-16,19.791666666666668,15.508333333333333
2019-05-17,22.9375,16.462500000000002
2019-05-18,23.270833333333332,16.729166666666668
2019-05-19,21.875,17.245833333333334
2019-05-20,14.299999999999999,17.17083333333333
2019-05-21,10.966666666666667,16.104166666666668
2019-05-22,18.195833333333333,16.162499999999998
2019-05-23,21.770833333333332,17.0875
2019-05-24,22.295833333333334,17.458333333333332
2019-05-25,25.116666666666664,18.037499999999998
2019-05-26,21.912499999999998,19.104166666666668
2019-05-27,22.004166666666666,19.8625
2019-05-28,24.441666666666666,20.125
2019-05-29,21.1375,20.245833333333334
2019-05-30,21.395833333333332,20.445833333333333
2019-05-31,20.329166666666666,19.8
2019-06-01,21.849999999999998,19.908333333333335
2019-06-02,20.429166666666667,20.491666666666667
2019-06-03,18.195833333333333,20.912499999999998
2019-06-04,21.787499999999998,20.979166666666668
