datetime,water_discharge
2015-01-01,10558.020833333334
2015-01-02,10255.625
2015-01-03,10882.291666666666
2015-01-04,12597.916666666666
2015-01-05,12596.041666666666
2015-01-06,10891.041666666666
2015-01-07,8362.8125
2015-01-08,6385.106382978724
2015-01-09,6647.604166666667
2015-01-10,6771.145833333333
2015-01-11,6111.041666666667
2015-01-12,6121.875
2015-01-13,6250.208333333333
2015-01-14,6609.6875
2015-01-15,6358.75
2015-01-16,6008.645833333333
2015-01-17,6685.729166666667
2015-01-18,7333.020833333333
2015-01-19,8871.875
2015-01-20,9369.583333333334
2015-01-21,12083.333333333334
2015-01-22,13516.666666666666
2015-01-23,12975.9375
2015-01-24,14447.916666666666
2015-01-25,15054.166666666666
2015-01-26,11994.166666666666
2015-01-27,12587.5
2015-01-28,11506.041666666666
2015-01-29,12945.833333333334
2015-01-30,11635.625
2015-01-31,10075.833333333334
2015-02-01,11938.4375
2015-02-02,8634.166666666666
2015-02-03,8999.166666666666
2015-02-04,9100.208333333334
2015-02-05,8220.833333333334
2015-02-06,8488.854166666666
2015-02-07,9290.3125
2015-02-08,10460.104166666666
2015-02-09,10404.791666666666
2015-02-10,11262.083333333334
2015-02-11,14028.125
2015-02-12,14837.234042553191
2015-02-13,13371.875
2015-02-14,13374.583333333334
2015-02-15,9986.875
2015-02-16,8517.916666666666
2015-02-17,
2015-02-18,
2015-02-19,
2015-02-20,
2015-02-21,
2015-02-22,
2015-02-23,
2015-02-24,
2015-02-25,
2015-02-26,
2015-02-27,
2015-02-28,
2015-03-01,
2015-03-02,
2015-03-03,
2015-03-04,
2015-03-05,
2015-03-06,
2015-03-07,
2015-03-08,
2015-03-09,8711.145833333334
2015-03-10,17257.291666666668
2015-03-11,30813.541666666668
2015-03-12,38679.166666666664
2015-03-13,38335.416666666664
2015-03-14,36291.666666666664
2015-03-15,32823.958333333336
2015-03-16,29467.708333333332
2015-03-17,27259.375
2015-03-18,24028.125
2015-03-19,22783.333333333332
2015-03-20,20817.708333333332
2015-03-21,20680.208333333332
2015-03-22,19270.526315789473
2015-03-23,17884.375
2015-03-24,17348.958333333332
2015-03-25,17408.333333333332
2015-03-26,17522.916666666668
2015-03-27,17122.916666666668
2015-03-28,16953.125
2015-03-29,14968.75
2015-03-30,16606.25
2015-03-31,16194.791666666666
2015-04-01,12310.625
2015-04-02,13335.416666666666
2015-04-03,14084.375
2015-04-04,12581.25
2015-04-05,12226.041666666666
2015-04-06,12418.854166666666
2015-04-07,12282.395833333334
2015-04-08,11627.8125
2015-04-09,10882.1875
2015-04-10,17540.625
2015-04-11,20077.083333333332
2015-04-12,19520.833333333332
2015-04-13,20737.5
2015-04-14,19336.458333333332
2015-04-15,18489.583333333332
2015-04-16,16888.541666666668
2015-04-17,15903.125
2015-04-18,14346.875
2015-04-19,14306.25
2015-04-20,14286.458333333334
2015-04-21,14852.083333333334
2015-04-22,14753.125
2015-04-23,13655.208333333334
2015-04-24,12493.645833333334
2015-04-25,14785.416666666666
2015-04-26,16865.625
2015-04-27,19490.625
2015-04-28,19537.5
2015-04-29,18062.5
2015-04-30,16662.5
2015-05-01,14466.666666666666
2015-05-02,12506.25
2015-05-03,10640.729166666666
2015-05-04,12206.25
2015-05-05,13745.729166666666
2015-05-06,17004.21052631579
2015-05-07,20138.541666666668
2015-05-08,21422.916666666668
2015-05-09,26585.416666666668
2015-05-10,29814.583333333332
2015-05-11,31527.083333333332
2015-05-12,
2015-05-13,30429.166666666668
2015-05-14,28085.416666666668
2015-05-15,26222.916666666668
2015-05-16,23885.416666666668
2015-05-17,21940.625
2015-05-18,22508.333333333332
2015-05-19,20334.375
2015-05-20,18441.052631578947
2015-05-21,16627.083333333332
2015-05-22,15848.958333333334
2015-05-23,14308.333333333334
2015-05-24,13349.583333333334
2015-05-25,12979.0625
2015-05-26,13166.666666666666
2015-05-27,15001.041666666666
2015-05-28,14234.375
2015-05-29,13391.666666666666
2015-05-30,14935.416666666666
2015-05-31,14366.666666666666
2015-06-01,18480.208333333332
2015-06-02,21365.625
2015-06-03,22071.875
2015-06-04,22189.583333333332
2015-06-05,21966.666666666668
2015-06-06,19932.291666666668
2015-06-07,18093.75
2015-06-08,25051.041666666668
2015-06-09,31888.541666666668
2015-06-10,34634.375
2015-06-11,31544.791666666668
2015-06-12,33792.708333333336
2015-06-13,36175.0
2015-06-14,51805.208333333336
2015-06-15,70131.25
2015-06-16,80318.75
2015-06-17,90445.83333333333
2015-06-18,
2015-06-19,82198.95833333333
2015-06-20,71982.29166666667
2015-06-21,67542.70833333333
2015-06-22,67579.16666666667
2015-06-23,77663.54166666667
2015-06-24,82565.625
2015-06-25,75155.20833333333
2015-06-26,68077.08333333333
2015-06-27,65164.583333333336
2015-06-28,68911.45833333333
2015-06-29,68594.79166666667
2015-06-30,64917.708333333336
2015-07-01,63388.541666666664
2015-07-02,56359.375
2015-07-03,46646.875
2015-07-04,41601.041666666664
2015-07-05,37345.833333333336
2015-07-06,37021.875
2015-07-07,39238.541666666664
2015-07-08,40343.75
2015-07-09,37575.0
2015-07-10,41185.416666666664
2015-07-11,47400.0
2015-07-12,44569.791666666664
2015-07-13,48434.375
2015-07-14,56137.5
2015-07-15,59121.875
2015-07-16,55643.75
2015-07-17,49758.333333333336
2015-07-18,48068.75
2015-07-19,48848.958333333336
2015-07-20,45752.083333333336
2015-07-21,42343.75
2015-07-22,37159.375
2015-07-23,35143.75
2015-07-24,31232.291666666668
2015-07-25,29186.458333333332
2015-07-26,26262.5
2015-07-27,25167.708333333332
2015-07-28,23802.083333333332
2015-07-29,22629.166666666668
2015-07-30,21455.208333333332
2015-07-31,19848.958333333332
2015-08-01,17366.666666666668
2015-08-02,14927.083333333334
2015-08-03,16409.375
2015-08-04,15048.958333333334
2015-08-05,13341.666666666666
2015-08-06,12178.125
2015-08-07,11046.979166666666
2015-08-08,11019.166666666666
2015-08-09,9906.25
2015-08-10,9707.5
2015-08-11,8960.0
2015-08-12,8576.25
2015-08-13,5599.270833333333
2015-08-14,4830.9375
2015-08-15,5141.666666666667
2015-08-16,5948.229166666667
2015-08-17,6198.75
2015-08-18,8379.270833333334
2015-08-19,13467.8125
2015-08-20,16718.75
2015-08-21,14346.875
2015-08-22,12680.208333333334
2015-08-23,12342.395833333334
2015-08-24,10201.354166666666
2015-08-25,8883.894736842105
2015-08-26,7924.526315789473
2015-08-27,6213.229166666667
2015-08-28,5186.5625
2015-08-29,5720.0
2015-08-30,5372.604166666667
2015-08-31,7011.875
2015-09-01,6647.916666666667
2015-09-02,5596.145833333333
2015-09-03,5420.833333333333
2015-09-04,6143.333333333333
2015-09-05,5455.0
2015-09-06,5042.5
2015-09-07,5240.9375
2015-09-08,6116.145833333333
2015-09-09,8835.104166666666
2015-09-10,10493.645833333334
2015-09-11,10244.895833333334
2015-09-12,9228.541666666666
2015-09-13,9761.354166666666
2015-09-14,7763.229166666667
2015-09-15,8424.166666666666
2015-09-16,6815.416666666667
2015-09-17,6728.333333333333
2015-09-18,9265.520833333334
2015-09-19,19130.208333333332
2015-09-20,23570.833333333332
2015-09-21,25863.541666666668
2015-09-22,25148.958333333332
2015-09-23,22973.958333333332
2015-09-24,20330.208333333332
2015-09-25,17039.583333333332
2015-09-26,14481.052631578947
2015-09-27,12539.583333333334
2015-09-28,9383.645833333334
2015-09-29,9562.604166666666
2015-09-30,7942.916666666667
2015-10-01,7270.520833333333
2015-10-02,6863.229166666667
2015-10-03,5552.1875
2015-10-04,5369.375
2015-10-05,5168.229166666667
2015-10-06,5215.625
2015-10-07,4841.875
2015-10-08,4596.354166666667
2015-10-09,5185.416666666667
2015-10-10,4295.864583333333
2015-10-11,4000.0
2015-10-12,5844.8421052631575
2015-10-13,4915.104166666667
2015-10-14,4466.5625
2015-10-15,3978.2291666666665
2015-10-16,3948.2291666666665
2015-10-17,3856.4270833333335
2015-10-18,4228.854166666667
2015-10-19,2833.9270833333335
2015-10-20,4569.375
2015-10-21,4542.8125
2015-10-22,4131.354166666667
2015-10-23,4490.520833333333
2015-10-24,4848.229166666667
2015-10-25,4957.395833333333
2015-10-26,4920.416666666667
2015-10-27,4765.208333333333
2015-10-28,6824.6875
2015-10-29,7004.375
2015-10-30,6322.5
2015-10-31,6580.833333333333
2015-11-01,9458.75
2015-11-02,9625.208333333334
2015-11-03,9635.833333333334
2015-11-04,8788.020833333334
2015-11-05,6534.6875
2015-11-06,9884.6875
2015-11-07,8185.416666666667
2015-11-08,8102.210526315789
2015-11-09,7832.210526315789
2015-11-10,7212.083333333333
2015-11-11,
2015-11-12,9130.0
2015-11-13,9598.842105263158
2015-11-14,8152.604166666667
2015-11-15,8212.604166666666
2015-11-16,7610.3125
2015-11-17,7801.354166666667
2015-11-18,14106.875
2015-11-19,21607.291666666668
2015-11-20,22840.625
2015-11-21,20262.5
2015-11-22,18164.583333333332
2015-11-23,17763.541666666668
2015-11-24,17691.666666666668
2015-11-25,14445.833333333334
2015-11-26,17146.875
2015-11-27,27868.75
2015-11-28,35507.291666666664
2015-11-29,38028.125
2015-11-30,36197.916666666664
2015-12-01,33781.25
2015-12-02,34352.083333333336
2015-12-03,32912.5
2015-12-04,30183.333333333332
2015-12-05,28109.375
2015-12-06,24975.0
2015-12-07,23167.708333333332
2015-12-08,21383.333333333332
2015-12-09,21001.052631578947
2015-12-10,18207.291666666668
2015-12-11,19579.166666666668
2015-12-12,17568.75
2015-12-13,16084.375
2015-12-14,23161.458333333332
2015-12-15,33764.583333333336
2015-12-16,34420.833333333336
2015-12-17,33402.083333333336
2015-12-18,29695.833333333332
2015-12-19,26384.375
2015-12-20,22680.208333333332
2015-12-21,23452.083333333332
2015-12-22,26272.916666666668
2015-12-23,28081.25
2015-12-24,34833.333333333336
2015-12-25,40125.0
2015-12-26,38520.833333333336
2015-12-27,36996.875
2015-12-28,43978.125
2015-12-29,70358.33333333333
2015-12-30,95694.79166666667
2015-12-31,97283.33333333333
2016-01-01,82642.70833333333
2016-01-02,71638.54166666667
2016-01-03,62310.416666666664
2016-01-04,52313.541666666664
2016-01-05,44231.25
2016-01-06,41103.125
2016-01-07,37946.875
2016-01-08,33347.916666666664
2016-01-09,35854.166666666664
2016-01-10,37277.083333333336
2016-01-11,37878.125
2016-01-12,36354.166666666664
2016-01-13,31460.416666666668
2016-01-14,26800.0
2016-01-15,30426.041666666668
2016-01-16,28322.916666666668
2016-01-17,25750.0
2016-01-18,21793.75
2016-01-19,20164.583333333332
2016-01-20,19373.958333333332
2016-01-21,19421.875
2016-01-22,19127.083333333332
2016-01-23,17894.736842105263
2016-01-24,18996.875
2016-01-25,18415.625
2016-01-26,19139.583333333332
2016-01-27,16104.166666666666
2016-01-28,17350.0
2016-01-29,15616.666666666666
2016-01-30,15815.625
2016-01-31,14909.375
2016-02-01,14782.291666666666
2016-02-02,14987.5
2016-02-03,21383.333333333332
2016-02-04,28856.25
2016-02-05,28465.625
2016-02-06,25914.583333333332
2016-02-07,23401.041666666668
2016-02-08,21733.333333333332
2016-02-09,19904.166666666668
2016-02-10,18065.625
2016-02-11,15859.375
2016-02-12,15726.041666666666
2016-02-13,13597.916666666666
2016-02-14,12538.541666666666
2016-02-15,11808.75
2016-02-16,12576.041666666666
2016-02-17,11695.833333333334
2016-02-18,10732.5
2016-02-19,10651.979166666666
2016-02-20,13537.5
2016-02-21,12582.5
2016-02-22,11651.041666666666
2016-02-23,11981.458333333334
2016-02-24,13194.6875
2016-02-25,11366.666666666666
2016-02-26,10995.520833333334
2016-02-27,10757.1875
2016-02-28,10541.458333333334
2016-02-29,11134.375
2016-03-01,14616.666666666666
2016-03-02,13943.75
2016-03-03,14190.625
2016-03-04,13469.791666666666
2016-03-05,14577.083333333334
2016-03-06,12362.291666666666
2016-03-07,13643.75
2016-03-08,13720.833333333334
2016-03-09,15189.583333333334
2016-03-10,13726.041666666666
2016-03-11,13203.125
2016-03-12,13747.916666666666
2016-03-13,14190.625
2016-03-14,19215.625
2016-03-15,26807.291666666668
2016-03-16,28983.333333333332
2016-03-17,30646.875
2016-03-18,29560.416666666668
2016-03-19,26357.291666666668
2016-03-20,23977.083333333332
2016-03-21,21440.625
2016-03-22,20141.666666666668
2016-03-23,20463.541666666668
2016-03-24,19277.083333333332
2016-03-25,22031.25
2016-03-26,25163.541666666668
2016-03-27,24572.916666666668
2016-03-28,23291.666666666668
2016-03-29,22316.666666666668
2016-03-30,20234.375
2016-03-31,22528.125
2016-04-01,23053.125
2016-04-02,25215.625
2016-04-03,22984.375
2016-04-04,25457.291666666668
2016-04-05,21960.416666666668
2016-04-06,21975.0
2016-04-07,22290.526315789473
2016-04-08,22636.458333333332
2016-04-09,22627.083333333332
2016-04-10,22901.041666666668
2016-04-11,24588.541666666668
2016-04-12,
2016-04-13,
2016-04-14,23048.958333333332
2016-04-15,21648.958333333332
2016-04-16,20579.166666666668
2016-04-17,19352.083333333332
2016-04-18,17696.875
2016-04-19,17364.583333333332
2016-04-20,15507.291666666666
2016-04-21,16130.208333333334
2016-04-22,15971.875
2016-04-23,14111.458333333334
2016-04-24,14848.958333333334
2016-04-25,12498.229166666666
2016-04-26,13081.25
2016-04-27,12032.291666666666
2016-04-28,13062.395833333334
2016-04-29,14393.75
2016-04-30,14854.166666666666
2016-05-01,17990.625
2016-05-02,21651.041666666668
2016-05-03,23925.0
2016-05-04,24520.833333333332
