bus,datetime,load_mw
1,2017-05-06 00:00:00,6.184038078420778
3,2017-05-06 00:00:00,1.2193707068893063
5,2017-05-06 00:00:00,5.996293465181147
7,2017-05-06 00:00:00,19.090847912355276
9,2017-05-06 00:00:00,36.11943915739712
11,2017-05-06 00:00:00,0.2538855534967123
12,2017-05-06 00:00:00,2.132638386898513
15,2017-05-06 00:00:00,34.484757905395064
17,2017-05-06 00:00:00,0.5092667122677046
18,2017-05-06 00:00:00,0.5845708736400803
19,2017-05-06 00:00:00,0.9351922332782254
20,2017-05-06 00:00:00,3.6140943836074304
22,2017-05-06 00:00:00,1.1266899723673185
23,2017-05-06 00:00:00,1.876586817198709
25,2017-05-06 00:00:00,1.1208068983513368
27,2017-05-06 00:00:00,1.9344295887431247
29,2017-05-06 00:00:00,33.49556062062323
31,2017-05-06 00:00:00,0.2890969171438635
32,2017-05-06 00:00:00,3.6505562850908566
34,2017-05-06 00:00:00,11.767943073343286
36,2017-05-06 00:00:00,2.844823030551393
37,2017-05-06 00:00:00,22.934798343956484
38,2017-05-06 00:00:00,5.701005427190908
39,2017-05-06 00:00:00,1.5824202161564573
40,2017-05-06 00:00:00,31.819654990836927
41,2017-05-06 00:00:00,8.813895325070153
42,2017-05-06 00:00:00,1.5866924614654996
43,2017-05-06 00:00:00,3.5006589653051776
45,2017-05-06 00:00:00,4.792174890046988
46,2017-05-06 00:00:00,1.1640301889010967
47,2017-05-06 00:00:00,1.5262297115941166
53,2017-05-06 00:00:00,2.0272931459492916
55,2017-05-06 00:00:00,0.9984037363109246
56,2017-05-06 00:00:00,2.4331936513463592
57,2017-05-06 00:00:00,3.649788799465322
58,2017-05-06 00:00:00,4.081207685986991
59,2017-05-06 00:00:00,3.1135338876746044
60,2017-05-06 00:00:00,16.950371826097957
61,2017-05-06 00:00:00,17.659731426029296
62,2017-05-06 00:00:00,6.63178228655713
73,2017-05-06 00:00:00,15.59050502820617
74,2017-05-06 00:00:00,2.683249385195993
79,2017-05-06 00:00:00,1.220756648739654
81,2017-05-06 00:00:00,6.268750691305793
