obj_name,pg,hour,day
32,0.0539999932753508,1,1
29,0.1441619585660439,1,1
1,0.04529999474714552,1,1
2,0.04529999474714552,1,1
41,0.0009999901458084587,1,1
27,0.14416195763127115,1,1
42,0.0009999901458084587,1,1
33,0.14416195573561585,1,1
28,0.14416195763259904,1,1
26,0.14416195762864065,1,1
10,0.14416194608936025,1,1
24,0.014000009968350213,1,1
25,1.3350000133183502,1,1
23,1.5480000154483502,1,1
49,0.0009999901331287215,1,1
5,0.09069998179439531,1,1
31,0.9240000099683503,1,1
43,0.0009999901458084587,1,1
39,0.0009999901419648334,1,1
34,0.14416195573004192,1,1
44,0.0009999901458084587,1,1
17,0.0009999901437923863,1,1
37,0.0009999901203277175,1,1
47,5.6915000568661505,1,1
9,0.14416194610158733,1,1
12,0.14416194603138377,1,1
20,0.0009999901465524272,1,1
6,0.8650000099683502,1,1
14,0.000999990147124376,1,1
7,0.04699999448027305,1,1
8,0.1441619461412189,1,1
19,0.0009999901468736,1,1
4,0.04529999474714541,1,1
22,0.6760000099683502,1,1
11,0.14416194603095633,1,1
35,0.14416195573937188,1,1
13,0.1441619459272791,1,1
15,0.000999990147520187,1,1
16,0.0009999901437923863,1,1
40,0.0009999901458084587,1,1
46,0.14416194591999157,1,1
21,0.14416191502013745,1,1
38,0.0009999901452117082,1,1
45,0.14416190918226376,1,1
36,0.14416195573962495,1,1
48,0.0009999901331287215,1,1
18,0.0009999901473040263,1,1
30,0.14416195856618644,1,1
3,0.04529999474714541,1,1
32,0.05399997525379291,2,1
29,0.09739829970446563,2,1
1,0.04529998105612912,2,1
2,0.04529998105612912,2,1
41,0.0009999901451521107,2,1
27,0.09739829886027973,2,1
42,0.0009999901451521107,2,1
33,0.09739829738253496,2,1
28,0.09739829886117844,2,1
26,0.09739829885850981,2,1
10,0.0973982907602392,2,1
24,0.014000009968319118,2,1
25,1.335000013318319,2,1
23,1.5480000154483191,2,1
49,0.0009999901325813498,2,1
5,0.09069978488214614,2,1
31,0.9240000099683192,2,1
43,0.0009999901451521107,2,1
39,0.000999990141342559,2,1
34,0.09739829737876479,2,1
44,0.0009999901451521107,2,1
17,0.0009999901431540237,2,1
37,0.0009999901198803733,2,1
47,5.691500056866076,2,1
9,0.09739829076849384,2,1
12,0.0973982907233641,2,1
20,0.0009999901458893794,2,1
6,0.8650000099683192,2,1
14,0.0009999901464561546,2,1
7,0.04699998007981586,2,1
8,0.09739829079337366,2,1
19,0.0009999901462076496,2,1
4,0.04529998105612873,2,1
22,0.6760000099683191,2,1
11,0.09739829072307613,2,1
35,0.09739829738507005,2,1
13,0.09739829065644011,2,1
15,0.0009999901468483734,2,1
16,0.0009999901431540237,2,1
40,0.0009999901451521107,2,1
46,0.09739829099312979,2,1
21,0.09739828064049386,2,1
38,0.0009999901445607098,2,1
45,0.09739828036663414,2,1
36,0.09739829738524093,2,1
48,0.0009999901325813498,2,1
18,0.0009999901466341758,2,1
30,0.09739829970456272,2,1
3,0.045299981056128716,2,1
32,0.05399997241562435,3,1
29,0.09412109068548463,3,1
1,0.04529997911321857,3,1
2,0.045299979113218564,3,1
41,0.0009999901451063352,3,1
27,0.09412108985182109,3,1
42,0.0009999901451063352,3,1
33,0.0941210883189878,3,1
28,0.09412108985269271,3,1
26,0.09412108985010939,3,1
10,0.09412108187505643,3,1
24,0.014000009968316938,3,1
25,1.3350000133183169,3,1
23,1.548000015448317,3,1
49,0.0009999901325431586,3,1
5,0.0906995196782131,3,1
31,0.924000009968317,3,1
43,0.0009999901451063352,3,1
39,0.0009999901412991545,3,1
34,0.09412108831534965,3,1
44,0.0009999901451063352,3,1
17,0.0009999901431094994,3,1
37,0.000999990119849148,3,1
47,5.691500056866071,3,1
9,0.09412108188304069,3,1
12,0.09412108183954775,3,1
20,0.0009999901458431378,3,1
6,0.8650000099683169,3,1
14,0.000999990146409553,3,1
7,0.046999977998909356,3,1
8,0.09412108190697353,3,1
19,0.0009999901461612058,3,1
4,0.045299979113218126,3,1
22,0.6760000099683169,3,1
11,0.0941210818392585,3,1
35,0.09412108832143568,3,1
13,0.09412108177504748,3,1
15,0.000999990146801522,3,1
16,0.0009999901431094994,3,1
40,0.0009999901451063352,3,1
46,0.09412108208970059,3,1
21,0.09412107229500025,3,1
38,0.0009999901445153065,3,1
45,0.09412107208508858,3,1
36,0.09412108832159903,3,1
48,0.0009999901325431586,3,1
18,0.0009999901465874608,3,1
30,0.09412109068558226,3,1
3,0.045299979113218106,3,1
32,0.05399996551900352,4,1
29,0.08790044721107197,4,1
1,0.04529997460304559,4,1
2,0.045299974603045585,4,1
41,0.0009999901450195255,4,1
27,0.08790044638632866,4,1
42,0.0009999901450195255,4,1
33,0.08790044492258,4,1
28,0.08790044638714252,4,1
26,0.08790044638473815,4,1
10,0.08790043879059999,4,1
24,0.014000009968312795,4,1
25,1.3350000133183129,4,1
23,1.548000015448313,4,1
49,0.0009999901324707265,4,1
5,0.08789974688334494,4,1
31,0.9240000099683129,4,1
43,0.0009999901450195255,4,1
39,0.000999990141216839,4,1
34,0.08790044491918433,4,1
44,0.0009999901450195255,4,1
17,0.000999990143025062,4,1
37,0.0009999901197899222,4,1
47,5.691500056866062,4,1
9,0.0879004387980531,4,1
12,0.08790043875763243,4,1
20,0.0009999901457554447,4,1
6,0.8650000099683128,4,1
14,0.0009999901463211775,4,1
7,0.04699997313179698,4,1
8,0.08790043882024327,4,1
19,0.00099999014607313,4,1
4,0.04529997460304501,4,1
22,0.6760000099683128,4,1
11,0.08790043875736181,4,1
35,0.08790044492487749,4,1
13,0.08790043869768813,4,1
15,0.000999990146712673,4,1
16,0.000999990143025062,4,1
40,0.0009999901450195255,4,1
46,0.08790043903165817,4,1
21,0.08790043012595468,4,1
38,0.0009999901444292024,4,1
45,0.0879004300616459,4,1
36,0.08790044492502529,4,1
48,0.0009999901324707265,4,1
