obj_name,pg,hour,day
32,-8.964388379503492e-9,1,1
29,0.10765142602912045,1,1
1,-8.964388384165295e-9,1,1
1035,-9.999998745568829e-9,1,1
1040,-9.999998745568829e-9,1,1
2,-8.964388384165295e-9,1,1
1060,-9.999998745568829e-9,1,1
41,0.0940000073650659,1,1
1081,-9.999998745568829e-9,1,1
1054,-9.999998745568829e-9,1,1
1063,-9.999998745568829e-9,1,1
1056,-9.999998745568829e-9,1,1
27,-8.964388360070354e-9,1,1
1039,-9.999998745568829e-9,1,1
42,0.09400000736506589,1,1
1062,-9.999998745568829e-9,1,1
28,-8.964388360070354e-9,1,1
1103,-9.999998745568829e-9,1,1
33,-8.964388361031424e-9,1,1
1070,-9.999998745568829e-9,1,1
1013,-9.999998745568829e-9,1,1
1031,-9.999998745568829e-9,1,1
1101,-9.999998745568829e-9,1,1
1019,-9.999998745568829e-9,1,1
1033,-9.999998745568829e-9,1,1
1027,-9.999998745568829e-9,1,1
1069,-9.999998745568829e-9,1,1
1059,-9.999998745568829e-9,1,1
1087,-9.999998745568829e-9,1,1
26,-8.964388360070354e-9,1,1
10,0.10764935767046867,1,1
1097,-9.999998745568829e-9,1,1
1106,-9.999998745568829e-9,1,1
24,0.014000008229187783,1,1
1071,-9.999998745568829e-9,1,1
1084,-9.999998745568829e-9,1,1
1023,-9.999998745568829e-9,1,1
1029,-9.999998745568829e-9,1,1
1050,-9.999998745568829e-9,1,1
25,1.3350000115791876,1,1
23,1.5480000137091876,1,1
1064,-9.999998745568829e-9,1,1
1105,-9.999998745568829e-9,1,1
49,0.675000004139401,1,1
1072,-9.999998745568829e-9,1,1
5,-8.964388372314597e-9,1,1
1015,-9.999998745568829e-9,1,1
1099,-9.999998745568829e-9,1,1
1048,-9.999998745568829e-9,1,1
43,0.0940000073650659,1,1
31,0.9240000082291877,1,1
1093,-9.999998745568829e-9,1,1
1083,-9.999998745568829e-9,1,1
1061,-9.999998745568829e-9,1,1
1004,-9.999998745568829e-9,1,1
39,0.2600000073551548,1,1
1089,-9.999998745568829e-9,1,1
1077,-9.999998745568829e-9,1,1
1086,-9.999998745568829e-9,1,1
1102,-9.999998745568829e-9,1,1
1009,-9.999998745568829e-9,1,1
34,-8.964388361031424e-9,1,1
44,0.09400000736506589,1,1
1036,-9.999998745568829e-9,1,1
1057,-9.999998745568829e-9,1,1
1051,-9.999998745568829e-9,1,1
1046,-9.999998745568829e-9,1,1
1079,-9.999998745568829e-9,1,1
17,0.18000000735994187,1,1
37,1.386000007781766,1,1
47,5.69150003119004,1,1
9,0.10764935956854492,1,1
1025,-9.999998745568829e-9,1,1
12,0.10764934909984542,1,1
20,0.06300000736691322,1,1
1030,-9.999998745568829e-9,1,1
6,0.8650000082291877,1,1
1100,-9.999998745568829e-9,1,1
1012,-9.999998745568829e-9,1,1
1044,-9.999998745568829e-9,1,1
1092,-9.999998745568829e-9,1,1
1058,-9.999998745568829e-9,1,1
1068,-9.999998745568829e-9,1,1
1080,-9.999998745568829e-9,1,1
1098,-9.999998745568829e-9,1,1
1042,-9.999998745568829e-9,1,1
1091,-9.999998745568829e-9,1,1
1096,-9.999998745568829e-9,1,1
1047,-9.999998745568829e-9,1,1
1052,-9.999998745568829e-9,1,1
14,0.04000000736830535,1,1
1076,-9.999998745568829e-9,1,1
1090,-9.999998745568829e-9,1,1
1007,-9.999998745568829e-9,1,1
1014,-9.999998745568829e-9,1,1
1010,-9.999998745568829e-9,1,1
1049,-9.999998745568829e-9,1,1
7,0.04699484004063172,1,1
1104,-9.999998745568829e-9,1,1
1065,-9.999998745568829e-9,1,1
8,0.10764936536532356,1,1
1034,-9.999998745568829e-9,1,1
1075,-9.999998745568829e-9,1,1
1078,-9.999998745568829e-9,1,1
1021,-9.999998745568829e-9,1,1
1017,-9.999998745568829e-9,1,1
19,0.05000000736769785,1,1
1024,-9.999998745568829e-9,1,1
1018,-9.999998745568829e-9,1,1
1026,-9.999998745568829e-9,1,1
1006,-9.999998745568829e-9,1,1
1085,-9.999998745568829e-9,1,1
4,-8.964388384165295e-9,1,1
1074,-9.999998745568829e-9,1,1
1008,-9.999998745568829e-9,1,1
1041,-9.999998745568829e-9,1,1
22,0.6760000082291876,1,1
11,0.10764934903306786,1,1
35,-8.964388361031424e-9,1,1
13,0.1076493335753691,1,1
1032,-9.999998745568829e-9,1,1
1005,-9.999998745568829e-9,1,1
1055,-9.999998745568829e-9,1,1
1011,-9.999998745568829e-9,1,1
15,0.024000007369265722,1,1
1073,-9.999998745568829e-9,1,1
1107,-9.999998745568829e-9,1,1
1053,-9.999998745568829e-9,1,1
16,0.18000000735994187,1,1
1094,-9.999998745568829e-9,1,1
1045,-9.999998745568829e-9,1,1
1022,-9.999998745568829e-9,1,1
1067,-9.999998745568829e-9,1,1
40,0.0940000073650659,1,1
1095,-9.999998745568829e-9,1,1
1001,-9.999998745568829e-9,1,1
46,-8.964388363542552e-9,1,1
1028,-9.999998745568829e-9,1,1
1088,-9.999998745568829e-9,1,1
21,-8.96438836586084e-9,1,1
38,0.1200000073635485,1,1
1108,-9.999998745568829e-9,1,1
1043,-9.999998745568829e-9,1,1
45,-8.964388365639152e-9,1,1
1066,-9.999998745568829e-9,1,1
1038,-9.999998745568829e-9,1,1
1037,-9.999998745568829e-9,1,1
1003,-9.999998745568829e-9,1,1
36,-8.964388361031424e-9,1,1
1016,-9.999998745568829e-9,1,1
1082,-9.999998745568829e-9,1,1
1020,-9.999998745568829e-9,1,1
1002,-9.999998745568829e-9,1,1
18,0.03200000736875797,1,1
48,0.675000004139401,1,1
30,0.10765142605177902,1,1
3,-8.964388384165295e-9,1,1
32,-8.964736381652485e-9,2,1
29,0.0059048202486579136,2,1
1,-8.964736386378804e-9,2,1
1035,-9.999998745568829e-9,2,1
1040,-9.999998745568829e-9,2,1
2,-8.964736386378804e-9,2,1
1060,-9.999998745568829e-9,2,1
41,0.09400000736281039,2,1
1081,-9.999998745568829e-9,2,1
1054,-9.999998745568829e-9,2,1
1063,-9.999998745568829e-9,2,1
1056,-9.999998745568829e-9,2,1
27,-8.964736362482474e-9,2,1
1039,-9.999998745568829e-9,2,1
42,0.09400000736281039,2,1
1062,-9.999998745568829e-9,2,1
28,-8.964736362482474e-9,2,1
1103,-9.999998745568829e-9,2,1
33,-8.964736363192795e-9,2,1
1070,-9.999998745568829e-9,2,1
