obj_name,pg,hour,day,dec_scenario,gen_scenario
48,-9.951638592534633e-9,5,1,No weights,Normal
18,-9.946481486360624e-9,5,1,No weights,Normal
30,0.15838846913943572,5,1,No weights,Normal
3,0.04530000516267446,5,1,No weights,Normal
32,0.05400000477143167,6,1,No weights,Normal
29,0.15862629680472898,6,1,No weights,Normal
1,0.04530000517282609,6,1,No weights,Normal
2,0.04530000517282609,6,1,No weights,Normal
41,-9.947024437564359e-9,6,1,No weights,Normal
27,0.15862629645630807,6,1,No weights,Normal
42,-9.947024437564359e-9,6,1,No weights,Normal
33,0.15862629573218442,6,1,No weights,Normal
28,0.1586262964568343,6,1,No weights,Normal
26,0.15862629645525986,6,1,No weights,Normal
10,0.1586262917351782,6,1,No weights,Normal
24,0.014000009988521585,6,1,No weights,Normal
25,1.3350000133385216,6,1,No weights,Normal
23,1.5480000154685216,6,1,No weights,Normal
49,-9.951637575711065e-9,6,1,No weights,Normal
5,0.0907000019464786,6,1,No weights,Normal
31,0.9240000099885217,6,1,No weights,Normal
43,-9.947024437564359e-9,6,1,No weights,Normal
39,-9.948422951166162e-9,6,1,No weights,Normal
34,0.158626295729958,6,1,No weights,Normal
44,-9.947024437564359e-9,6,1,No weights,Normal
17,-9.947758004820896e-9,6,1,No weights,Normal
37,-9.956293614488352e-9,6,1,No weights,Normal
47,5.691500056897286,6,1,No weights,Normal
9,0.15862629174006232,6,1,No weights,Normal
12,0.15862629171148382,6,1,No weights,Normal
20,-9.946753729802001e-9,6,1,No weights,Normal
6,0.8650000099885217,6,1,No weights,Normal
14,-9.946545611996818e-9,6,1,No weights,Normal
7,0.047000005099311175,6,1,No weights,Normal
8,0.1586262917563421,6,1,No weights,Normal
19,-9.94663686338324e-9,6,1,No weights,Normal
4,0.04530000517282611,6,1,No weights,Normal
22,0.6760000099885216,6,1,No weights,Normal
11,0.15862629171131817,6,1,No weights,Normal
35,0.15862629573368647,6,1,No weights,Normal
13,0.1586262916691057,6,1,No weights,Normal
15,-9.946401584672814e-9,6,1,No weights,Normal
16,-9.947758004820896e-9,6,1,No weights,Normal
40,-9.947024437564359e-9,6,1,No weights,Normal
46,0.15862629154807634,6,1,No weights,Normal
21,0.15862627063180262,6,1,No weights,Normal
