obj_name,pg,hour,day
32,-9.999999667755734e-9,1,1
29,-9.999999667755734e-9,1,1
1,-9.999999667755734e-9,1,1
2,-9.999999667755734e-9,1,1
41,-9.99999966775785e-9,1,1
27,-9.999999667755734e-9,1,1
42,-9.99999966775785e-9,1,1
33,-9.999999667755734e-9,1,1
28,-9.999999667755734e-9,1,1
26,-9.999999667755734e-9,1,1
10,-9.999999667755734e-9,1,1
24,-9.99999966774615e-9,1,1
25,-9.99999966774615e-9,1,1
23,-9.99999966774615e-9,1,1
49,-9.999999667758048e-9,1,1
5,-9.999999667755734e-9,1,1
31,-9.99999966774615e-9,1,1
43,-9.99999966775785e-9,1,1
39,-9.999999667757906e-9,1,1
34,-9.999999667755734e-9,1,1
44,-9.99999966775785e-9,1,1
17,-9.99999966775788e-9,1,1
37,-9.999999667758292e-9,1,1
47,-9.999999667749535e-9,1,1
9,-9.999999667755734e-9,1,1
12,-9.999999667755734e-9,1,1
20,-9.99999966775784e-9,1,1
6,-9.99999966774615e-9,1,1
14,-9.999999667757832e-9,1,1
7,-9.999999667755734e-9,1,1
8,-9.999999667755734e-9,1,1
19,-9.999999667757835e-9,1,1
4,-9.999999667755734e-9,1,1
22,-9.99999966774615e-9,1,1
11,-9.999999667755734e-9,1,1
35,-9.999999667755734e-9,1,1
13,-9.999999667755734e-9,1,1
15,-9.999999667757827e-9,1,1
16,-9.99999966775788e-9,1,1
40,-9.99999966775785e-9,1,1
46,-9.999999667755734e-9,1,1
21,-9.999999667755734e-9,1,1
38,-9.999999667757858e-9,1,1
45,-9.999999667755734e-9,1,1
36,-9.999999667755734e-9,1,1
48,-9.999999667758048e-9,1,1
18,-9.999999667757828e-9,1,1
30,-9.999999667755734e-9,1,1
3,-9.999999667755734e-9,1,1
32,-9.999999752095645e-9,2,1
29,-9.999999752095645e-9,2,1
1,-9.999999752095645e-9,2,1
2,-9.999999752095645e-9,2,1
41,-9.999999752096823e-9,2,1
27,-9.999999752095645e-9,2,1
42,-9.999999752096823e-9,2,1
33,-9.999999752095645e-9,2,1
28,-9.999999752095645e-9,2,1
26,-9.999999752095645e-9,2,1
10,-9.999999752095645e-9,2,1
24,-9.999999752090308e-9,2,1
25,-9.999999752090308e-9,2,1
23,-9.999999752090308e-9,2,1
49,-9.999999752096934e-9,2,1
5,-9.999999752095645e-9,2,1
31,-9.999999752090308e-9,2,1
43,-9.999999752096823e-9,2,1
39,-9.999999752096854e-9,2,1
34,-9.999999752095645e-9,2,1
44,-9.999999752096823e-9,2,1
17,-9.99999975209684e-9,2,1
37,-9.999999752097068e-9,2,1
47,-9.999999752092192e-9,2,1
9,-9.999999752095645e-9,2,1
12,-9.999999752095645e-9,2,1
20,-9.999999752096816e-9,2,1
6,-9.999999752090308e-9,2,1
14,-9.999999752096811e-9,2,1
7,-9.999999752095645e-9,2,1
