pg,qg,name,hour
0.013999999999999999,NaN,24,1
0.01619999004726713,NaN,32,1
0.013599990047271126,NaN,1,1
0.08379999004716343,NaN,12,1
1.3391999866533169,NaN,29,1
0.013599990047271126,NaN,4,1
0.013599990047271126,NaN,2,1
0.865,NaN,6,1
1.335,NaN,25,1
1.548,NaN,23,1
0.6759999999999999,NaN,22,1
0.02819999003523549,NaN,41,1
0.23169999004693811,NaN,35,1
0.08379999004716343,NaN,11,1
0.08379999004716343,NaN,13,1
0.027199990047250218,NaN,5,1
0.924,NaN,31,1
0.007199990035356379,NaN,15,1
0.39019999004669903,NaN,27,1
0.23169999004693811,NaN,33,1
0.39019999004669903,NaN,28,1
0.011999990035328614,NaN,14,1
0.07979999004716955,NaN,46,1
0.05399999004720908,NaN,21,1
0.014099990047270356,NaN,7,1
0.02819999003523549,NaN,44,1
0.23169999004693811,NaN,34,1
0.05249999004721138,NaN,45,1
0.08379999004716343,NaN,8,1
0.23169999004693811,NaN,36,1
0.39019999004669903,NaN,26,1
0.014999990035311012,NaN,19,1
0.08379999004716343,NaN,10,1
2.242210315398266,NaN,47,1
0.08379999004716343,NaN,9,1
0.009599990035341415,NaN,18,1
1.3391999866533169,NaN,30,1
0.013599990047271126,NaN,3,1
0.013999999999999999,NaN,24,2
0.01619999004726713,NaN,32,2
0.013599990047271126,NaN,1,2
0.08379999004716343,NaN,12,2
1.3391999866533169,NaN,29,2
0.013599990047271126,NaN,4,2
0.013599990047271126,NaN,2,2
0.865,NaN,6,2
1.335,NaN,25,2
1.548,NaN,23,2
0.6759999999999999,NaN,22,2
0.02819999003523549,NaN,41,2
0.23169999004693811,NaN,35,2
0.08379999004716343,NaN,11,2
0.08379999004716343,NaN,13,2
0.027199990047250218,NaN,5,2
0.924,NaN,31,2
0.007199990035356379,NaN,15,2
0.39019999004669903,NaN,27,2
0.23169999004693811,NaN,33,2
0.39019999004669903,NaN,28,2
0.011999990035328614,NaN,14,2
0.07979999004716955,NaN,46,2
0.05399999004720908,NaN,21,2
0.014099990047270356,NaN,7,2
0.02819999003523549,NaN,44,2
0.23169999004693811,NaN,34,2
0.05249999004721138,NaN,45,2
0.08379999004716343,NaN,8,2
0.23169999004693811,NaN,36,2
0.39019999004669903,NaN,26,2
0.014999990035311012,NaN,19,2
0.08379999004716343,NaN,10,2
2.242210315398266,NaN,47,2
0.08379999004716343,NaN,9,2
0.009599990035341415,NaN,18,2
1.3391999866533169,NaN,30,2
0.013599990047271126,NaN,3,2
0.013999999999999999,NaN,24,3
0.01619999004726713,NaN,32,3
0.013599990047271126,NaN,1,3
0.08379999004716343,NaN,12,3
1.3391999866533169,NaN,29,3
0.013599990047271126,NaN,4,3
0.013599990047271126,NaN,2,3
0.865,NaN,6,3
1.335,NaN,25,3
1.548,NaN,23,3
0.6759999999999999,NaN,22,3
0.02819999003523549,NaN,41,3
0.23169999004693811,NaN,35,3
0.08379999004716343,NaN,11,3
0.08379999004716343,NaN,13,3
0.027199990047250218,NaN,5,3
0.924,NaN,31,3
0.007199990035356379,NaN,15,3
0.39019999004669903,NaN,27,3
0.23169999004693811,NaN,33,3
0.39019999004669903,NaN,28,3
0.011999990035328614,NaN,14,3
0.07979999004716955,NaN,46,3
0.05399999004720908,NaN,21,3
0.014099990047270356,NaN,7,3
0.02819999003523549,NaN,44,3
0.23169999004693811,NaN,34,3
0.05249999004721138,NaN,45,3
0.08379999004716343,NaN,8,3
0.23169999004693811,NaN,36,3
0.39019999004669903,NaN,26,3
0.014999990035311012,NaN,19,3
0.08379999004716343,NaN,10,3
2.2422103153982658,NaN,47,3
0.08379999004716343,NaN,9,3
0.009599990035341415,NaN,18,3
1.3391999866533169,NaN,30,3
0.013599990047271126,NaN,3,3
0.013999999999999999,NaN,24,4
0.01619999004726713,NaN,32,4
0.013599990047271126,NaN,1,4
0.08379999004716343,NaN,12,4
1.3391999866533169,NaN,29,4
0.013599990047271126,NaN,4,4
0.013599990047271126,NaN,2,4
0.865,NaN,6,4
1.335,NaN,25,4
1.548,NaN,23,4
0.6759999999999999,NaN,22,4
0.02819999003523549,NaN,41,4
0.23169999004693811,NaN,35,4
0.08379999004716343,NaN,11,4
0.08379999004716343,NaN,13,4
0.027199990047250218,NaN,5,4
0.924,NaN,31,4
0.007199990035356379,NaN,15,4
0.39019999004669903,NaN,27,4
0.23169999004693811,NaN,33,4
0.39019999004669903,NaN,28,4
0.011999990035328614,NaN,14,4
0.07979999004716955,NaN,46,4
0.05399999004720908,NaN,21,4
0.014099990047270356,NaN,7,4
0.02819999003523549,NaN,44,4
0.23169999004693811,NaN,34,4
0.05249999004721138,NaN,45,4
0.08379999004716343,NaN,8,4
0.23169999004693811,NaN,36,4
0.39019999004669903,NaN,26,4
0.014999990035311012,NaN,19,4
0.08379999004716343,NaN,10,4
