f_ENS,f_con_tot,f_disvi_tot,f_emit,f_gen,f_w_con,f_w_emit,f_w_with,f_with_tot,w_with,w_con,w_emit,policy_label,scenario
0.0,9.508624111757004e7,0.0,2.5034471442e7,1.5951550870202333e6,0.004995000125491499,0.0025781817418457226,0.002340655756920296,1.1853542619096257e8,0.002340655756920296,0.004995000125491499,0.0025781817418457226,water-emission policy,average week
0.0,1.0053654000053537e8,0.0,4.4682542781e7,1.5001323257929608e6,0.0,0.0,0.0,1.8639524045738544e9,0.0,0.0,0.0,status quo,average week
0.0,7.89230151615003e7,0.0,8.5032974396e7,2.2255393653184953e6,0.0,0.0,0.03564453125,9.71836466906254e7,0.03564453125,0.0,0.0,high water withdrawal penalty,average week
0.0,1.9510262069481153e7,0.0,9.7578863336e7,2.1730963499323707e6,0.04345703125,0.0,0.0,5.631948415330039e9,0.0,0.04345703125,0.0,high water consumption penalty,average week
0.0,9.237956244483468e7,0.0,2.4132029961999997e7,1.5719442405577954e6,0.0,0.00439453125,0.0,5.240055808227319e8,0.0,0.0,0.00439453125,high emission penalty,average week
0.0,1.4114552208829588e8,0.0,5.5821538986999996e7,1.9500162071347355e6,0.004995000125491499,0.0025781817418457226,0.002340655756920296,1.7551461801411977e8,0.002340655756920296,0.004995000125491499,0.0025781817418457226,water-emission policy,extreme load/climate
0.0,1.4870002413382185e8,1.2256626161256258e10,8.4880389873e7,1.8453765389792807e6,0.0,0.0,0.0,4.700231935232277e9,0.0,0.0,0.0,status quo,extreme load/climate
280.04089999999997,1.2912650088572931e8,0.0,1.21420858014e8,2.551787759898669e6,0.0,0.0,0.03564453125,1.591185482461616e8,0.03564453125,0.0,0.0,high water withdrawal penalty,extreme load/climate
0.0,8.420672915029097e7,2.1301866033369263e10,1.3209410783500002e8,2.5364941093325317e6,0.04345703125,0.0,0.0,8.349652115884364e9,0.0,0.04345703125,0.0,high water consumption penalty,extreme load/climate
0.0,1.298536970124064e8,5.054476705105898e9,5.582154426200001e7,1.9467371105617275e6,0.0,0.00439453125,0.0,1.943922066153758e9,0.0,0.0,0.00439453125,high emission penalty,extreme load/climate
0.0,7.892301800848776e7,0.0,8.503297841e7,2.2255393990451293e6,0.004995000125491499,0.0025781817418457226,0.002340655756920296,9.718365016060972e7,0.002340655756920296,0.004995000125491499,0.0025781817418457226,water-emission policy,nuclear outage
0.0,5.252254769513425e7,0.0,1.15746755358e8,2.11154482911511e6,0.0,0.0,0.0,4.940545850715168e9,0.0,0.0,0.0,status quo,nuclear outage
0.0,7.892301567145586e7,0.0,8.503297617999999e7,2.2255393810043503e6,0.0,0.0,0.03564453125,9.718364728931983e7,0.03564453125,0.0,0.0,high water withdrawal penalty,nuclear outage
0.0,1.9508758868044056e7,0.0,9.7590742728e7,2.173197571205076e6,0.04345703125,0.0,0.0,5.631946299451098e9,0.0,0.04345703125,0.0,high water consumption penalty,nuclear outage
0.0,4.6580932692317255e7,0.0,8.5032992905e7,2.2175387230217345e6,0.0,0.00439453125,0.0,2.645220845184042e9,0.0,0.0,0.00439453125,high emission penalty,nuclear outage
0.0,1.0130701838465028e8,0.0,2.8460249976999998e7,1.6734203367091499e6,0.004995000125491499,0.0025781817418457226,0.002340655756920296,1.2628682022056285e8,0.002340655756920296,0.004995000125491499,0.0025781817418457226,water-emission policy,line outage
0.0,1.0353575426123747e8,0.0,5.4337712010000005e7,1.5826647020037158e6,0.0,0.0,0.0,2.385487012991353e9,0.0,0.0,0.0,status quo,line outage
278.2163,8.891370613271628e7,0.0,8.493677464900002e7,2.2292670993628064e6,0.0,0.0,0.03564453125,1.0966391823214537e8,0.03564453125,0.0,0.0,high water withdrawal penalty,line outage
0.0,2.140778594666021e7,0.0,1.0653347963599999e8,2.2591891864815177e6,0.04345703125,0.0,0.0,6.191972475454073e9,0.0,0.04345703125,0.0,high water consumption penalty,line outage
0.0,9.560742741862346e7,0.0,2.8460248630000003e7,1.6732636696017561e6,0.0,0.00439453125,0.0,5.747179149350448e8,0.0,0.0,0.00439453125,high emission penalty,line outage
0.0,1.4114552184519857e8,0.0,5.5821538764e7,1.950016205214852e6,0.004995000125491499,0.0025781817418457226,0.002340655756920296,1.755146177152482e8,0.002340655756920296,0.004995000125491499,0.0025781817418457226,water-emission policy,avoid temperature violation
0.0,1.3223690475413787e8,0.0,8.4880389873e7,1.845382849657883e6,0.0,0.0,0.0,7.493547897944609e9,0.0,0.0,0.0,status quo,avoid temperature violation
280.0412,1.2912649814043368e8,0.0,1.21420854223e8,2.5517877294753096e6,0.0,0.0,0.03564453125,1.5911854489854205e8,0.03564453125,0.0,0.0,high water withdrawal penalty,avoid temperature violation
0.0,5.538181241500917e7,0.0,1.31431836921e8,2.538751852927373e6,0.04345703125,0.0,0.0,1.2737263918392187e10,0.0,0.04345703125,0.0,high water consumption penalty,avoid temperature violation
0.0,1.2336792856069249e8,0.0,5.582154493100001e7,1.946737116317402e6,0.0,0.00439453125,0.0,3.117657274392398e9,0.0,0.0,0.00439453125,high emission penalty,avoid temperature violation
